Monthly average surface air temperature anomalies
Data source: ERA5
Reference period: 1991-2020
Col. 1: last month of the time period as YYYYMM
Col. 2,3: weighted averages for the following regions and surfaces (ocean, land)
Global: all surfaces (180W, 180E, 90S, 90N)
European: land only (25W-40E, 34N-72N)

Month,global,European
197901,-0.4215,-2.9291
197902,-0.6875,-2.0116
197903,-0.4863,-0.6432
197904,-0.5083,-2.395
197905,-0.4468,-0.2536
197906,-0.432,0.0132
197907,-0.498,-2.2115
197908,-0.4098,-1.464
197909,-0.3766,-0.7658
197910,-0.3649,-1.7254
197911,-0.3846,-0.7293
197912,-0.1323,0.3266
198001,-0.2989,-3.1513
198002,-0.2483,-1.2133
198003,-0.2766,-2.8012
198004,-0.1839,-1.6754
198005,-0.0913,-2.5737
198006,-0.254,-0.7296
198007,-0.2098,-1.7698
198008,-0.2848,-1.4802
198009,-0.368,-0.5447
198010,-0.456,-0.9657
198011,-0.4296,-1.8775
198012,-0.4726,-1.1266
198101,-0.1735,-1.0717
198102,-0.2494,-1.1477
198103,-0.1635,-0.592
198104,-0.213,-1.8247
198105,-0.23,-0.7438
198106,-0.2496,-0.4453
198107,-0.242,-1.1206
198108,-0.2366,-1.4219
198109,-0.3363,-0.2446
198110,-0.4192,0.2542
198111,-0.4253,-1.0083
198112,-0.2349,-1.433
198201,-0.5766,-2.0159
198202,-0.4879,-1.3072
198203,-0.637,-0.6796
198204,-0.5375,-1.4769
198205,-0.372,-0.8283
198206,-0.4204,-1.4683
198207,-0.3385,-0.9444
198208,-0.4542,-1.121
198209,-0.4658,0.3299
198210,-0.5203,-0.6293
198211,-0.521,0.1242
198212,-0.2332,0.7543
198301,-0.1509,1.1301
198302,-0.1929,-1.8599
198303,-0.188,-0.3623
198304,-0.2765,0.2252
198305,-0.1333,-0.1037
198306,-0.2661,-1.1368
198307,-0.317,-0.2238
198308,-0.2501,-1.3852
198309,-0.1972,0.0977
198310,-0.4757,-0.4635
198311,-0.3543,-1.2964
198312,-0.4241,-0.6202
198401,-0.4017,0.0745
198402,-0.5575,-1.0388
198403,-0.3925,-2.0805
198404,-0.4689,-0.6186
198405,-0.2149,-0.453
198406,-0.5061,-1.6589
198407,-0.5323,-1.7637
198408,-0.4389,-1.8351
198409,-0.4863,-0.6909
198410,-0.5223,0.2466
198411,-0.6529,-0.5633
198412,-0.6034,-1.1846
198501,-0.4221,-4.9783
198502,-0.6946,-5.5495
198503,-0.5305,-2.2334
198504,-0.4725,-1.0998
198505,-0.4369,-0.4619
198506,-0.4666,-1.6235
198507,-0.5361,-1.3707
198508,-0.3946,-0.5111
198509,-0.5211,-0.6816
198510,-0.6471,-0.3099
198511,-0.5941,-2.0338
198512,-0.546,-1.1093
198601,-0.4322,-1.0
198602,-0.3781,-4.3689
198603,-0.4126,-0.5419
198604,-0.2998,-1.0224
198605,-0.2693,0.0309
198606,-0.4483,-0.1525
198607,-0.4489,-1.2204
198608,-0.4376,-1.2175
198609,-0.5271,-1.6082
198610,-0.5942,-0.3831
198611,-0.5015,-0.1275
198612,-0.4473,-2.1661
198701,-0.3327,-5.8671
198702,-0.289,-1.0711
198703,-0.4811,-4.3704
198704,-0.334,-1.3947
198705,-0.2728,-1.6873
198706,-0.1915,-1.2558
198707,-0.0896,-1.1621
198708,-0.2712,-2.1275
